,word,score,pvalue
2248,tặng,1034.856493495934,4.762653608188672e-227
1683,quà,752.0928908359504,1.4071247256845074e-165
991,kèm,219.14426919993198,1.3900867897057899e-49
1472,nhận,188.46814698666674,6.866072934925504e-43
2573,đơn,118.40195337988703,1.4158249535412505e-27
2606,đặt,68.05262202458839,1.5919000520466708e-16
189,bộ,62.47546056113065,2.6978537300883634e-15
2656,đủ,57.95277113945787,2.6848706117513457e-14
931,khuyến_mãi,57.43258275760093,3.497648161543149e-14
1063,lock,56.03800475059382,7.108357637423633e-14
1910,thiếu,53.54518404322411,2.5271316209288e-13
607,ghi,53.54518404322411,2.5271316209288e-13
132,bông,50.7283644174844,1.0607545048246302e-12
2401,xe,49.01262790620654,2.5431991458858785e-12
801,hàng,48.812696783562835,2.8161085991787048e-12
712,gửi,48.61269098426215,3.118446862022685e-12
2567,đăng,46.698337292161526,8.279923007883917e-12
1967,thú,46.698337292161526,8.279923007883917e-12
623,giao,45.91704802345917,1.2336768189533404e-11
1066,lon,44.81742539508407,2.1628928211423024e-11
2133,trả,44.5705727322922,2.4535178891604507e-11
939,khách_hàng,42.69436146179779,6.399649472824446e-11
794,huỷ,42.02850356294537,8.995262151898963e-11
297,chương_trình,41.08636424161361,1.4564892701171222e-10
693,gấu,40.65431939165336,1.8168518813273476e-10
487,dc,38.9788273931536,4.284269001732753e-10
938,khách,38.18503653335702,6.434395568769668e-10
1871,tang,37.35866983372921,9.82829953897237e-10
562,dễ_thương,36.62205376812215,1.4340014776993594e-09
1653,phục_vụ,35.784081765307135,2.204416795539416e-09
699,gọi,35.767604804237365,2.223139469711886e-09
179,bịch,33.759582282036476,6.236111379811722e-09
2207,tôi,33.25272120103517,8.09264297034496e-09
365,combo,32.84367637606531,9.987543453265265e-09
395,cào,31.45466433852005,2.0415160570012757e-08
535,dùng,29.093354487386755,6.897317031859704e-08
2411,xinh,28.77521193121546,8.12848346652585e-08
1194,miếng,28.114910575991377,1.1432168410011713e-07
797,hàg,26.772592021612056,2.2886036632722927e-07
102,báo,26.314965014913064,2.9003261175646904e-07
149,bảo,24.70805208738579,6.670490461688786e-07
866,hết,24.54826602419274,7.247152875157417e-07
1964,thông_tin,23.821752173204295,1.0568141073250218e-06
1219,mua,23.81772169264578,1.0590292838527248e-06
659,giỏ,23.349168646080763,1.3510188954803336e-06
1937,thành_công,23.349168646080763,1.3510188954803336e-06
910,kh,22.98151110445265,1.6356694833489388e-06
1643,phản_hồi,22.332593519764742,2.2928184657750884e-06
2270,tổng_đài,22.332593519764742,2.2928184657750884e-06
2542,đâu,21.758412453962453,3.092309413417887e-06
1539,nói,21.758412453962453,3.092309413417887e-06
985,km,21.197624525039174,4.142776592662678e-06
567,dịch_vụ,20.630458893831715,5.570282001368297e-06
2097,trong,19.570731351499948,9.694301379919455e-06
685,gói,19.447098181750537,1.0342485338057141e-05
1297,mỏng,19.27295342738243,1.1330000478762861e-05
2262,tốt,18.96267011409682,1.3330110533043948e-05
1694,quảng_cáo,18.88552364270886,1.3880199736839326e-05
2451,xả,18.679334916864605,1.546494997603139e-05
766,hom,18.679334916864605,1.546494997603139e-05
1614,phao,18.679334916864605,1.546494997603139e-05
772,hoàn,18.679334916864605,1.546494997603139e-05
98,bán,18.122970546801564,2.0708811002985036e-05
1050,liên_hệ,18.12132197475854,2.0726747562133166e-05
2582,đại,18.12132197475854,2.0726747562133166e-05
343,chụp,18.12132197475854,2.0726747562133166e-05
1226,mà_lại,17.826663936162586,2.4196856782105834e-05
2637,đồ_chơi,17.826663936162586,2.4196856782105834e-05
875,hỏi,17.247912948778975,3.2805771274382667e-05
1986,thất_vọng,16.02260513192142,6.259069420962928e-05
2325,vui,16.022554446976265,6.259236978447144e-05
1089,làm_ăn,16.022554446976265,6.259236978447144e-05
1863,sữa,15.330058435030134,9.026872035088716e-05
2565,đúng,14.900997962995628,0.00011330303083968832
1936,thành,14.893475303436327,0.00011375575646463363
1997,thẻ,14.893475303436327,0.00011375575646463363
881,hỗ_trợ,14.893475303436327,0.00011375575646463363
1239,mãi,14.893475303436327,0.00011375575646463363
1433,nhân_viên,14.738346654020056,0.00012350854371234732
2175,tuổi,14.585971576888136,0.00013390770862917707
1240,méo,14.429830300064431,0.00014547953486180877
2505,đc,14.192222365023289,0.00016505132445144977
2382,với_lại,14.009501187648455,0.0001818892126456836
289,chăm_sóc,14.009501187648455,0.0001818892126456836
576,dụng_cụ,14.009501187648455,0.0001818892126456836
1157,lừa,14.009501187648455,0.0001818892126456836
2482,áp_dụng,14.009501187648455,0.0001818892126456836
1392,ngựa,14.009501187648455,0.0001818892126456836
2547,đính,14.009501187648455,0.0001818892126456836
243,cho_rồi,14.009501187648455,0.0001818892126456836
872,hệ_thống,14.009501187648455,0.0001818892126456836
