,text,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
0,sản_phẩm tốt_đẹp keng tiếc đc android 9 sim softbank chủ nhiệt_tình,0,1,0,0,0,0,1,0,0
1,nhận máy bất_ngờ máy đẹp lắm ạ mới dùng tốt về biết trả_lời nhiệt_tình cảm_ơn,0,1,0,0,0,0,1,0,0
2,máy đẹp hàng đúng chuẩn luôn uy_tín giao hàng nhanh chất_lượng đúng quảng_bá giá_cả hợp_lý máy mới đẹp ứng_dụng chạy ổn_định chức_năng cơ_bản hoạt_động tốt màn_hình cảm_ứng nhạy sáng màu_sắc rực_rỡ hài_lòng vừa_ý ủng_hộ ở đơn hàng,1,1,1,1,1,0,0,0,0
3,uy_tín máy lỗi khay sim đổi máy khác,0,0,0,0,0,0,1,0,0
4,trừ báo số_liệu pin chính_xác nha tư_vấn nhiệt_tình,0,0,0,0,0,0,1,0,0
5,máy tầm 90 về ngoại_hình áp ok nói_chung máy đẹp thử dùng vài ngày mọi thứ tạm ổn tặng 5,0,1,0,0,0,0,0,0,0
6,dễ_thương uy_tín bán hàng chất_lượng tốt hàng chuẩn test đúng hàng chính hãng anh chi em tự_tin mua hàng 5,0,0,0,0,0,1,1,0,0
7,thật bất_ngờ nhận đc sản_phẩm shopee chất_lượng máy tốt hình_thức đẹp chức_năng hoạt_động ổn_định màn_hình sáng màu_sắc rực_rỡ mong_đợi đâu tiên mua hàng shopee thật đáng đồng_tiền_bát_gạo giới_thiệu shopee đến bạn_bè người_thân ủng_hộ nhé,1,1,1,0,1,0,0,0,0
8,màn xước góc_cạnh móp nói_chung ipad 4 đòi_hỏi,1,1,0,0,0,0,0,0,0
9,hàng đẹp đóng_gói cẩn_thận cài đủ ứng_dụng phục_vụ nhiệt_tình mọi thắc_mắc khách đáng tin_cậy ủng_hộ tiếp,0,1,0,1,0,0,1,0,0
10,đóng_gói cẩn_thận mới nhận dùng thử,0,0,0,1,0,0,0,0,0
11,j5 chup hinh net xai sim tien loi ung ho 5,0,0,0,0,0,0,0,0,0
12,máy đẹp xài ngon tất_cả chức_năng hoạt_động ổn_định giao hàng nhanh nhân_viên tư_vấn nhiệt_tình an_tâm sử_dụng sản_phẩm,0,1,1,1,0,0,1,0,0
13,đóng_gói sản_phẩm đẹp chắc_chắn điện_thoại đẹp cảm_nhận ban_đầu xài máy nhanh nóng tạm ổn giá tốt,0,1,1,1,1,0,0,0,0
14,máy full box đầy_đủ phụ_kiện mô_tả chất_lượng máy tốt cấu_hình mạnh chơi game lướt web mượt hài_lòng phục_vụ nhiệt_tình nhân_viên vui_vẻ chuyên_nghiệp giới_thiệu bạn_bè người_thân ủng_hộ,1,1,1,0,0,0,1,1,0
15,hàng đẹp đóng_gói cẩn_thận,0,1,0,1,0,0,0,0,0
16,tạm ổn màn_hình dăm máy mới khoảng 95 96,1,0,0,0,0,0,0,0,0
17,khởi_động lâu chú shipper có_vẻ chảnh nhg máy nóng nhẹ nói_chung ổn giao lâu,0,0,0,0,0,0,0,0,0
18,sản_phẩm chất_lượng giá_thành đổi trả tư_vấn nhiệt_tình chế_độ hậu_mãi tốt nói_chung mua sản_phẩm,0,0,0,0,0,0,1,0,0
19,giao hàng uy_tín chất_lượng sản_phẩm đúng quảng_cáo test máy chức_năng cơ_bản ổn màn_hình cảm_ứng mượt mạng chơi game lướt web êm_ái tất_cả mong_đợi giá_cả hợp_lý làm hài_lòng lắm giới_thiệu bạn_bè người_thân đến ủng_hộ,0,0,1,0,1,0,1,0,0
20,đóng_gói cẩn_thận hàng chất_lượng uy_tín đầy_đủ phụ_kiện,0,0,0,1,0,0,0,1,0
21,máy chuẩn nha anh_em giao hàng ok đúng hẹn chất_lượng máy tốt ngoại_hình đẹp cấu_hình ổn_định chức_năng chạy mượt màn_hình cảm_ứng nhạy màu_sắc đẹp mong đợ chiến game sướng pin trâu nói_chung hài_lòng sắp đánh 10 điểm về chất_lượng h phục_vụ,1,0,1,1,0,1,1,0,0
22,nhiệt_tình hàng tốt giá rẻ phục_vụ chu_đáo thích đáng mua,0,0,0,0,1,0,1,0,0
23,cửa_hàng tiếp_nhận đơn giao hàng nhanh đóng_gói đẹp đảm_bảo chất_lượng sp tuỳ_thuộc phía nsx quan_điểm cá_nhân ủng_hộ vsmart hàng chất giá tốt,0,0,0,1,0,0,0,0,0
24,tuyệt_vời đaz mua tổng_cộng 3cái r,0,0,0,0,0,0,0,0,0
25,sản_phẩm chất_lượng giao hàng nhanh,0,0,0,1,0,0,0,0,0
26,đúng hàng giao hàng nhanh đóng_gói kĩ_càng nguyên siu chờ hỗ_trợ tiếng việt,0,0,0,0,0,0,0,0,0
27,chê dc phục_vụ tốt đóng_gói chắc_chắn chống sốc dày hỗ_trợ nhanh bạn mua ủng_hộ 100 chính hãng đầy_đủ phù kiện 100 luôn,0,0,0,1,0,1,1,1,0
28,sản o chê đâu đc ts tặng ính cường_lực bùn xíu,0,0,0,0,0,0,0,0,1
29,chất_lượng sản_phẩm phù_hợp giá tiền đòi_hỏi vvvvv,0,0,0,0,1,0,0,0,0
30,mọi người mua hàng nhé mua máy về sạc đầy dùng 20 phút gần sập nguồn liên_hệ hỗ_trợ im_re thèm rep khách_hàng yêu_cầu hoàn hàng ếu_nại đổi trả trong mô_tả ghi hoàn_trả 30 ngày vấn_đề,0,0,0,0,0,0,0,0,1
31,tốt hàng chính hãng nguyên seal,0,0,0,0,0,1,0,0,0
32,9 ngày trải_nghiệm xz1 tôi màu xanh au hộp đầy_đủ máy sạc dây sạc tai nghe ốp dẻo phiếu hướng_dẫn hình_thức ảnh chụp mọi tính_năng ok nhanh mạnh mi 5x tôi dùng hài_lòng pin trong ngày màn vài vệt sáng ổn tầm tiền,1,0,1,0,0,0,0,1,0
33,dien thoai tot nhiet tinh,0,0,0,0,0,0,0,0,0
34,hàng chất_lượng thank,0,0,0,0,0,0,0,0,0
35,mỗi_tội nguyên sale biết cài tiếng việt thế_nào nua,0,0,0,0,0,0,0,0,0
36,sản_phẩm chính hãng digiworld ngon_lành cành đào,0,0,0,0,0,1,0,0,0
37,nhiệt_tình,0,0,0,0,0,0,0,0,0
38,chụp siêu nét máy chạy muợt luôn,0,0,0,0,0,0,0,0,0
39,giao sản_phẩm khác hoàn_toàn mô_tả quản cáo đt mới giao đt cũ trầy camera xước màn_hình khoá màn_hình khác dòng nhắn_tin phản_hồi,1,1,0,0,0,0,1,0,0
40,sản_phẩm ok đóng_gói kỹ chắc giao hàng nhanh ủng_hộ tiếp,0,0,0,1,0,0,0,0,0
41,sp chất_lượng mìh nghĩ đóng_gói ok 5,0,0,0,0,0,0,0,0,0
42,máy đẹp nguyên seal chạy mượt lắm 5,0,1,1,0,0,1,0,0,0
43,tới hôm_nay mới đánh_giá ipad 4 hàng y hình 97 móp góc chút_xíu xước nhẹ 1đường nhỏ máy ngoài_ra ok mới pin xài 3ngày mới hết pin phần_mềm trước_mắt ok hết xài tới cuối tháng ok mua 1máy đăng facebook quảng_cáo dùm 5 tư_vấn nhiệt_tình,1,1,0,0,0,0,1,0,0
44,amazing gút chóp,0,0,0,0,0,0,0,0,0
45,ship lâuuuuuuuu mua trúng lễ add nhiệt_tình hỏi đc phản_hồi mưa hộp ướt hết xài biết nha,0,0,0,0,0,0,0,0,0
46,4 loa nghe tuyệt_vời,1,0,0,0,0,0,0,0,0
47,đóng_gói sản_phẩm cẩn_thận sản_phẩm đúng mô_tả chất_lượng sản_phẩm tuyệt_vời điện_thoại kèm tai nghe,0,0,0,1,0,0,0,1,0
48,uy_tín giao hàng nhanh đúng chất_lượng test chức_năng ổn nghe gọi ok phần ứng_dụng hoạt_động tốt màn_hình sáng đẹp màu_sắc rực_rỡ mong_đợi nói_chung vừa_ý hài_lòng giới_thiệu bạn_bè người_thân ủng_hộ anh_em an_tâm sử_dụng sản_phẩm ri,1,0,1,1,0,0,0,0,0
49,hàng nhận tư_vấn nhiệt_tình hàng chính hãng nguyên seal digiworl,0,0,0,0,0,1,1,0,0
50,máy nói mới 90 95 mn xem tự đánh_giá,0,0,0,0,0,0,0,0,1
51,hàng tuyệt đẹp va mới nguyên seal nguyên zịn ưng_ý,0,0,0,0,0,0,0,0,0
52,ok lắm ạ giao hàng nhanh máy sài tốt chức_năng hoạt_động ổn nhiệt_tình điện_thoại quảng_cáo nói_chung hài_lòng chúc nhìu khách,0,0,1,1,0,0,1,0,0
