,text,_score,_pvalue
1598,sống,4.161083674222396e-05,0.9948531646625489
416,chủng_loại,4.161083674222396e-05,0.9948531646625489
2015,xung_quanh,4.161083674222396e-05,0.9948531646625489
2013,xui,4.161083674222396e-05,0.9948531646625489
151,990,4.161083674222396e-05,0.9948531646625489
1035,lừa,4.161083674222396e-05,0.9948531646625489
518,cứng,4.161083674222396e-05,0.9948531646625489
1320,note,4.161083674222396e-05,0.9948531646625489
409,chờ_đợi,4.161083674222396e-05,0.9948531646625489
928,kịp,4.161083674222396e-05,0.9948531646625489
785,hết_lòng,4.161083674222396e-05,0.9948531646625489
781,hẳn,4.161083674222396e-05,0.9948531646625489
397,chỉnh,4.161083674222396e-05,0.9948531646625489
179,antutu,4.161083674222396e-05,0.9948531646625489
480,cải_thiện,4.161083674222396e-05,0.9948531646625489
1646,thoại,4.161083674222396e-05,0.9948531646625489
1631,thao_tác,4.161083674222396e-05,0.9948531646625489
650,google,4.161083674222396e-05,0.9948531646625489
805,hổ,4.161083674222396e-05,0.9948531646625489
1535,shoppe,4.161083674222396e-05,0.9948531646625489
611,ghét,4.161083674222396e-05,0.9948531646625489
477,cạnh_tranh,4.161083674222396e-05,0.9948531646625489
1292,nhược_điểm,4.161083674222396e-05,0.9948531646625489
100,5h,4.161083674222396e-05,0.9948531646625489
464,công_nhận,4.161083674222396e-05,0.9948531646625489
998,lưu_ý,4.161083674222396e-05,0.9948531646625489
71,3gb,4.161083674222396e-05,0.9948531646625489
70,3g,4.161083674222396e-05,0.9948531646625489
815,hợp_tác,4.161083674222396e-05,0.9948531646625489
640,giấy,4.161083674222396e-05,0.9948531646625489
1007,lẫn,4.161083674222396e-05,0.9948531646625489
959,load,4.161083674222396e-05,0.9948531646625489
1493,rút,4.161083674222396e-05,0.9948531646625489
1606,sự_thật,4.161083674222396e-05,0.9948531646625489
1675,thơm,4.161083674222396e-05,0.9948531646625489
379,chả,4.161083674222396e-05,0.9948531646625489
1223,ngoại_hình_như,4.161083674222396e-05,0.9948531646625489
1841,tý,4.161083674222396e-05,0.9948531646625489
19,16,4.161083674222396e-05,0.9948531646625489
371,chút_xíu,4.161083674222396e-05,0.9948531646625489
2255,ứng,4.161083674222396e-05,0.9948531646625489
16,15,4.161083674222396e-05,0.9948531646625489
893,kiểm,4.161083674222396e-05,0.9948531646625489
12,120hz,4.161083674222396e-05,0.9948531646625489
1825,tình,4.161083674222396e-05,0.9948531646625489
1185,một_chút,4.161083674222396e-05,0.9948531646625489
1824,tì_vết,4.161083674222396e-05,0.9948531646625489
2243,ấn_tượng,4.161083674222396e-05,0.9948531646625489
1761,trái,4.161083674222396e-05,0.9948531646625489
1375,perfect,4.161083674222396e-05,0.9948531646625489
1767,tróc,4.161083674222396e-05,0.9948531646625489
1799,trục_trặc,4.161083674222396e-05,0.9948531646625489
721,hoàn_trả,4.161083674222396e-05,0.9948531646625489
301,cam_kết,4.161083674222396e-05,0.9948531646625489
9,11,4.161083674222396e-05,0.9948531646625489
894,kiểm_chứng,4.161083674222396e-05,0.9948531646625489
614,gia,4.161083674222396e-05,0.9948531646625489
1726,tiện,4.161083674222396e-05,0.9948531646625489
1111,máy_mượt,4.161083674222396e-05,0.9948531646625489
365,chói,4.161083674222396e-05,0.9948531646625489
1705,time,4.161083674222396e-05,0.9948531646625489
1205,new,4.161083674222396e-05,0.9948531646625489
1891,tổng_quan,4.161083674222396e-05,0.9948531646625489
363,chính_xác,4.161083674222396e-05,0.9948531646625489
869,khó_chịu,4.161083674222396e-05,0.9948531646625489
223,bàn_cãi,4.161083674222396e-05,0.9948531646625489
554,dày,4.161083674222396e-05,0.9948531646625489
1115,máy_ok,4.161083674222396e-05,0.9948531646625489
148,97,8.322167348444792e-05,0.9927213261408488
1945,vote,8.322167348444792e-05,0.9927213261408488
2083,ân_cần,8.322167348444792e-05,0.9927213261408488
686,hao,8.322167348444792e-05,0.9927213261408488
822,imei,8.322167348444792e-05,0.9927213261408488
1050,max,8.322167348444792e-05,0.9927213261408488
665,gạch,8.322167348444792e-05,0.9927213261408488
1986,vỡ,8.322167348444792e-05,0.9927213261408488
700,hiện,8.322167348444792e-05,0.9927213261408488
1829,tím,8.322167348444792e-05,0.9927213261408488
130,80,8.322167348444792e-05,0.9927213261408488
1878,tốc_độ,8.322167348444792e-05,0.9927213261408488
1135,món,8.322167348444792e-05,0.9927213261408488
1062,minh,8.322167348444792e-05,0.9927213261408488
794,học,8.322167348444792e-05,0.9927213261408488
1910,update,0.00012483251022666486,0.9910855433428298
443,cài_đặt,0.00012483251022666486,0.9910855433428298
1127,mãi,0.00016644334696889584,0.9897065434840245
693,hi_vọng,0.00016644334696889584,0.9897065434840245
188,ban_đầu,0.00016644334696889584,0.9897065434840245
1783,trầy_xước,0.00020805418371111278,0.9884916455637477
597,ful,0.00041610836742222556,0.9837252933987564
1551,sp,0.0004577192041644425,0.982931062084222
