,text,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7
0,thứ nhận quà khuyến_mãi thiếu món đầu xe 3 bánh con bọ thiếu cây sắt gắn bánh_xe phía bộ lèo xếp bệnh_viện ghi 60 món thiếu hét mấy miếng to quà khuyến_mãi đánh_đố tâm hết,0,0,0,0,1,0,0
1,mua để_dành giờ bé rụng răng,0,0,0,0,0,0,0
2,tả xài thích thấm hút tốt hâm giao hàng đóng hói cẩn_thận hài_lòng về sản_phẩm,1,0,0,1,0,1,0
3,gói bỉm cũ bạc_màu loại mẫu_mã lâu gói bỉm rách,0,0,0,1,0,1,0
4,đóng_gói kỹ tả thấm hút tốt đai thun co_giãn chặc bé xài tả nãy tiết_kiệm huggies platinum 3kmiếng,1,0,0,1,0,0,0
5,sai cung duoc,0,0,0,0,0,0,1
6,giao hàng dự_kiến hàng tốt chính hãng cám_ơn,1,0,1,1,0,0,0
7,size m nhung nhỏ p mua size,0,0,0,0,0,0,1
8,sữa con uống tốt tăng chiều cao cân nặng tiêu_hoá bé tốt,0,0,0,1,0,0,0
9,giao hàng nhanh đúng loại hình đc tặng 8m loại size s phù_hợp số cân nặng 4 8 kg bé nhà 5 5kg mặc rộng phần đai dán mềm_mại dính tốt loại bobby soft màu vàng size bé đai dán cứng chật làm_bé hằn hết chẳng soft ở chỗ mặc_dù mua loại size s,1,0,0,1,0,0,0
10,mua thứ r bé xài êm cáo bông dễ_thương,0,0,0,1,1,0,0
11,mua hàng đầu_tiên thất_vọng bao_bì sp cũ xấu hàng hết hạn sd ý mở bên trong sd nhũn thích mua ngoài cửa_hàng thất_vọng,0,0,0,1,0,1,0
12,sản_phẩm tốt ️ ️ ️ ️ ️ ️ ️ ️ ️,0,0,0,0,0,0,1
13,bé nhà mới 8 kí mặc vô lằn đỏ hết hai bên hông bỉm nhỏ_bé mặc thoải_mái,0,0,0,1,0,0,0
14,ok trong tầm giá,0,0,0,0,0,0,1
15,lô hàng ưu_điểm hình bỉm ngộ_nghĩnh thay_đổi đa_dạng tạo hứng_thú bé nhược_điểm thấm hút kém lô hàng dễ tràng bỉm,0,0,0,1,0,0,0
16,mặc bí chat luong thi ok,0,0,0,1,0,1,0
17,hài_lòng,0,0,0,0,0,0,1
18,dùng ok cảm_ơn se ung ho tiep,0,0,0,1,0,0,0
19,đóng_gói cẩn_thận hàng tốt,1,0,0,1,0,0,0
20,59k co balo đẹp hú hôn,0,0,0,0,0,0,0
21,tã mỏng tã mua bên ngoài mùi thơm nặng trong tã mua bên ngoài mùi cảm_giác sử_dụng tã mua bên ngoài an_toàn dễ_chịu dùng tã,0,0,0,1,0,0,0
22,bé nhà xài tã bobby nhỏ thun co_giãn tốt chống hăm bán hay giảm_giá quà gói now giao hàng cực_kỳ nhanh thích,1,1,0,1,1,1,0
23,nhận vết dơ ở góc balo tiện_lợi ngăn nhỏ đồ trẻ nhất_là ngăn giữ ấm dùng giữ sữa con bỏ sữa giữ ấm tiếng dĩ_nhiên nguội bớt đi ấm ấm bé dùng thank,0,0,0,0,0,0,0
