,Unnamed: 0,text,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
0,0,ổn trong tầm giá màn_hình loa trung_bình hay chụp hình chân_dung siêu ảo ưng lắm nói_chung giá rẻ đòi_hỏi,1,0,0,0,1,0,0,1,0
1,1,nhận đc hàng máy ổn giá giúp kích_hoạt giúp m,0,0,0,0,1,0,0,0,0
2,2,ok máy chuẩn,0,0,0,0,0,0,0,0,1
3,3,sp mới con lỗi tai nghe chơi pubg đâu ok,0,0,0,0,0,0,0,0,0
4,4,hài_lòng sp màn_hình đẹp mượt có_điều pin xuống nhanh,1,0,1,0,0,0,0,0,0
5,5,đặt mua máy ngày 52 mới đến 82 hàng thật_sự thích khoản giao hàng nhanh_chóng kindle dùng ổn có_thể_tra từ_điển dù mua sách amazon cổng sạc đầu cắm samsung tiện muốn sạc kindle bao da đẹp điểm cộng lớn muốn dùng lâu hết pin bạn để_chế độ máy_bay á cảm_thấy để_chế độ kết_nối internet cần_thiết lắm đa_phần tải sách về máy mới chuyển sang kindle nói_chung hài_lòng nè,0,0,0,1,0,0,0,1,0
6,6,dùng tuần ổn ạ,0,0,0,0,0,0,0,0,1
7,7,hop đựng lớn chèn lót kỹ lắm,0,0,0,0,0,0,0,0,0
8,8,sạc nhanh quảng_cáo mất 2h30 sạc xong hy_vọng sửa nội_dung sạc nhanh thành sạc thường,1,0,0,0,0,0,0,0,1
9,9,giao nhanh sản_phẩm đẹp nguyên tem,0,1,0,1,0,0,0,0,0
10,10,nguyên seal giao hàng lâu t3 t7 mới,0,1,0,1,0,1,0,0,0
11,11,mua ngày 102 dùng đúng 10 ngày sản_phẩm lỗi gửi về bảo_hành đến nay tháng nhận đc hồi_âm về máy biết mua máy về dùng hay mang đi bảo_hành hài_lòng,0,0,0,0,0,0,1,0,0
12,12,loa nhỏ rè màn_hình trong wifi kém,0,0,0,0,0,0,0,1,0
13,13,hàng,0,0,0,0,0,0,0,0,1
14,14,nhận hàng hôm_qua xài ok màn_hình mờ_nhạt tầm giá dc,1,0,0,0,1,0,0,0,0
15,15,hàng đẹp giao đúng quảng_cáo,0,1,0,0,0,0,0,0,0
16,16,đóng_gói sơ_sài cấn móp,0,0,0,1,0,0,1,0,0
17,17,giao hàng nhanh điện_thoại đẹp,0,1,0,1,0,0,0,0,0
18,18,sản_phẩm tốt,0,0,0,0,0,0,0,0,1
19,19,giá hợp_lý,0,0,0,0,1,0,0,0,0
20,20,điện thôi pin trâu,0,0,0,0,0,0,0,0,0
21,21,giá cứng_cáp xài ok nâng mức tháo lắp thanh chăn phú hợp chiều cao_minh dung lap nhỏ 12inch khung nhỏ chút lap lớn chắc dư ra_chiều ngang chắc cỡ 23cm bà_con tính thử,0,0,0,0,0,0,0,0,1
22,22,hàng đẹp chất_lượng tốt giao nhanh đáng đồng_tiền lắm chất rẻ thanhk,0,1,0,1,1,0,0,0,0
23,23,giao hàng nhanh sản_phẩm miêu_tả,0,0,0,1,0,0,0,0,0
24,24,gọi video call góc_quay rộng giá đỡ gọn_nhẹ chắc_chắn tay đòn dài cảm_thấy hài_lòng,0,0,0,0,0,0,0,0,1
25,25,giao nhanh shipper mở hộp kiểm_tra luôn,0,0,0,1,0,0,0,0,0
26,26,máy ổn_định pin trâu,1,0,0,0,0,0,0,0,0
27,27,đt tốt bắt sóng mạnh,0,0,0,0,0,0,0,0,1
28,28,hài_lòng giao nhanh,0,0,0,1,0,0,0,0,0
29,29,giá rẻ cấu_hình cao tiếc cam chụp mờ,1,0,0,0,1,0,0,0,0
30,30,hàng nguyên seal đóng_gói cẩn_thận sử_dụng ninja van giao hàng cực lâu gửi thông_tin về thời_gian giao hàng chính_xác dịch_vụ giao hàng tệ nhất sử_dụng,0,1,0,1,0,0,0,0,0
31,31,chất_lượng sản_phẩm đúng giới_thiệu đúng hàng chính hãng nguyên seal,0,0,0,0,0,1,0,0,0
32,32,đóng_gói cẩn_thận điện_thoại đẹp chất_lượng test,0,1,0,1,0,0,0,0,0
33,33,đế cứng_cáp chắc_chắn giao hàng hạn trước_mắt vấn_đề,0,0,0,1,0,0,0,1,0
34,34,thiết_kế chắc_chắn cứng_cáp đáng tiền,0,0,0,0,0,0,0,0,1
35,35,dùng sp loa nhỏ rè,1,0,0,0,0,0,0,0,0
36,36,mua điện_thoại về livestream camera tối iphone 6 điện_thoại lỗi wifi báo kết_nối mạng kém chạy live nổi mới nhận hàng sáng nay hỗ_trợ đổi_mới hoặc bảo_hành,1,0,1,0,0,0,0,0,0
37,37,đế kẹp 2in1 điện_thoại máy_tính bảng tablet ipad gắn chân máy_ảnh tripod dễ sử_dụng,0,0,1,0,0,0,0,0,1
38,38,máy pin trâu tác_vụ ok chụp ảnh tạm ổn đáng mua kích_hoạt bảo_hành 3 ngày,1,0,1,0,0,0,0,0,0
39,39,mới mua về cuộc_gọi đến bấm phím gọi phím tắt chất_lượng kém làm thế_nào hả,0,0,1,0,0,0,0,0,0
40,40,giao hàng nhanh sản_phẩm chất_lượng giá_cả phải_chăng,0,0,0,1,1,0,0,0,0
41,41,rat tien tre xem dt,0,0,0,0,0,0,0,0,0
42,42,nguyên seal mới sử_dụng vài ngày máy nhạy mua ba sử_dụng nghĩ tạm ổn ba coi youtube dò vé_số thôi nv giao hàng thân_thiện nói_chung tầm giá ổn sử_dụng oppo giờ thích oppo hãng khác,0,1,1,1,1,1,1,0,0
43,43,sản_phẩm tốt hàng chính hãng giao thiếu ốp lưng,0,0,0,0,0,1,0,1,0
44,44,mức giá ok dùng ổn,0,0,0,0,1,0,0,0,0
45,45,tiện_lợi lắm sim thường dùng chẳng cài app điện_thoại lưu_danh bạ hài_lòng,0,0,0,0,0,0,0,0,1
46,46,hàng chính hãng active 5,0,0,0,0,0,1,0,0,0
47,47,cảm_giác màn_hình rộng xài sướng tai chụp ảnh đẹp ngon trong tầm giá,1,0,0,0,1,0,0,0,0
48,48,giao hàng nhanh thông_báo máy nguyên đai nguyên kiện cầm đầm tay mềm_mại vsmart live 4 một phần cạnh máy bo tròn kiểu_dáng dài,0,1,0,1,0,1,0,1,0
49,49,ngày đầu_tiên sử_dụng ok,0,0,0,0,0,0,0,0,1
50,50,sản_phẩm tốt dùng ok tiếc mua hết quà tặng kèm chính hãng,0,0,0,0,0,0,0,0,1
51,51,sản_phẩm giao nhanh hàng vna chính hãng,0,0,0,1,0,1,0,0,0
52,52,khui seal để_dành tặng người khác,0,0,0,0,0,0,0,0,1
53,53,giao chuyên_nghiệp dễ_thương dễ mua giờ tin_tưởng mua đồ giá_trị,0,0,0,1,0,0,0,0,0
54,54,sản_phẩm nguyên seal xuất_xứ trung_quốc chờ hỗ_trợ kích_hoạt bảo_hành điện_tử tiếc m11 tai nghe kèm tầm giá gần 3 triệu đáng mua giao hàng nhanh,0,1,0,1,1,1,0,1,0
55,55,hình_ảnh dc đẹp màu nhạt,1,0,0,0,0,0,0,0,0
56,56,sản_phẩm tốt mong_đợi,0,0,0,0,0,0,0,0,1
57,57,mua ốp lưng sài hôm trầy hết trơn tặng luôn ốp đi kèm tốt,0,0,0,0,0,0,0,1,0
58,58,hàng chính hãng chạy mượt ios 14 luôn đổi sim mới máy nóng esim sóng tốt,0,0,1,0,0,1,0,0,0
59,59,sản_phẩm y_như trong hộp tai nghe trong ứng_dụng trò_chơi một_số ứng_dụng nói_chung tốt,0,0,0,0,0,0,0,1,0
60,60,giong hinh vua y rat dep cam on rat nhieu,0,1,0,0,0,0,0,0,0
